area_name,year,quarter,time_period,rent_growth,population_growth,housing_completions,rent_level,ppi_dublin_all,ppi_nat_ex_dublin_all,ppi_national_all,mortgage_loan_book_n,arrears_90d_n,arrears_720d_n,arrears_90d_rate,arrears_720d_rate
Leitrim,2018,1,2018Q1,7.472879838,1.22324159,384.2307809,528.79,29.358333333333334,27.108333333333334,29.141666666666666,53.0,17.0,8.0,0.32075471698113206,0.1509433962264151
Leitrim,2018,2,2018Q2,7.605959308,1.22324159,384.2307809,528.79,29.28333333333333,29.025000000000002,30.066666666666666,52.0,18.0,8.0,0.34615384615384615,0.15384615384615385
Leitrim,2018,3,2018Q3,6.901436956,1.22324159,384.2307809,528.79,29.058333333333334,28.40833333333333,29.708333333333332,51.0,18.0,8.0,0.35294117647058826,0.1568627450980392
Leitrim,2018,4,2018Q4,6.279362668,1.22324159,384.2307809,528.79,27.983333333333334,27.691666666666666,28.808333333333334,54.0,17.0,7.0,0.3148148148148148,0.12962962962962962
Leitrim,2019,1,2019Q1,5.537042777,1.208459215,384.2307809,556.6,26.150000000000002,26.8,27.441666666666666,52.0,16.0,9.0,0.3076923076923077,0.17307692307692307
Leitrim,2019,2,2019Q2,5.530413439,1.208459215,384.2307809,556.6,26.208333333333332,27.041666666666668,27.599999999999998,51.0,16.0,9.0,0.3137254901960784,0.17647058823529413
Leitrim,2019,3,2019Q3,5.901173798,1.208459215,384.2307809,556.6,26.808333333333334,27.325,28.041666666666668,50.0,16.0,9.0,0.32,0.18
Leitrim,2019,4,2019Q4,6.034385463,1.208459215,384.2307809,556.6,25.741666666666664,26.525000000000002,27.150000000000002,49.0,15.0,8.0,0.30612244897959184,0.16326530612244897
Leitrim,2020,1,2020Q1,5.134559606,0.298507463,384.2307809,580.88,26.28333333333333,25.658333333333335,26.933333333333334,50.0,16.0,8.0,0.32,0.16
Leitrim,2020,2,2020Q2,4.332025004,0.298507463,384.2307809,580.88,25.900000000000002,25.90833333333333,26.891666666666666,48.0,14.0,7.0,0.2916666666666667,0.14583333333333334
Leitrim,2020,3,2020Q3,3.461036523,0.298507463,384.2307809,580.88,25.558333333333334,26.09166666666667,26.833333333333332,47.0,14.0,7.0,0.2978723404255319,0.14893617021276595
Leitrim,2020,4,2020Q4,3.56040447,0.298507463,384.2307809,580.88,26.675,27.133333333333336,27.925,51.0,14.0,7.0,0.27450980392156865,0.13725490196078433
Leitrim,2021,1,2021Q1,3.230256151,1.19047619,152.3825145,620.68,27.575,28.183333333333334,28.933333333333334,52.0,13.0,7.0,0.25,0.1346153846153846
Leitrim,2021,2,2021Q2,4.193952905,1.19047619,175.4883319,620.68,29.625,29.5,30.608333333333334,55.0,12.0,7.0,0.21818181818181817,0.12727272727272726
Leitrim,2021,3,2021Q3,5.529348746,1.19047619,164.1285569,620.68,32.733333333333334,33.30833333333333,34.166666666666664,56.0,11.0,6.0,0.19642857142857142,0.10714285714285714
Leitrim,2021,4,2021Q4,7.569762064,1.19047619,221.9282156,620.68,33.833333333333336,35.36666666666667,35.84166666666667,58.0,12.0,6.0,0.20689655172413793,0.10344827586206896
Leitrim,2022,1,2022Q1,11.24642682,1.764705882,217.6968311,710.88,33.975,36.175000000000004,36.4,60.0,11.0,6.0,0.18333333333333332,0.1
Leitrim,2022,2,2022Q2,14.17324151,1.764705882,267.9993895,710.88,34.050000000000004,36.458333333333336,36.6,63.0,11.0,6.0,0.1746031746031746,0.09523809523809523
Leitrim,2022,3,2022Q3,16.2330326,1.764705882,261.0816904,710.88,34.958333333333336,36.75833333333333,37.225,47.0,14.0,7.0,0.2978723404255319,0.14893617021276595
Leitrim,2022,4,2022Q4,16.69533091,1.764705882,290.9823036,710.88,33.59166666666667,35.983333333333334,36.199999999999996,66.0,11.0,6.0,0.16666666666666666,0.09090909090909091
Leitrim,2023,1,2023Q1,12.80523035,2.89017341,260.783211,784.05,31.183333333333334,34.75833333333333,34.43333333333333,66.0,14.0,6.0,0.21212121212121213,0.09090909090909091
Leitrim,2023,2,2023Q2,11.04343879,2.89017341,254.9014109,784.05,30.141666666666666,34.55833333333334,33.858333333333334,66.0,13.0,6.0,0.19696969696969696,0.09090909090909091
Leitrim,2023,3,2023Q3,8.693140998,2.89017341,295.9511078,784.05,31.133333333333336,35.199999999999996,34.666666666666664,64.0,13.0,6.0,0.203125,0.09375
Leitrim,2023,4,2023Q4,7.70878821,2.89017341,326.1150852,784.05,33.375,36.725,36.55833333333333,64.0,12.0,6.0,0.1875,0.09375
Leitrim,2024,1,2024Q1,11.55919776,1.966292135,229.6184497,904.49,35.225,37.55833333333333,37.85,64.0,12.0,6.0,,
Leitrim,2024,2,2024Q2,12.61503573,1.966292135,238.3796981,904.49,35.875,38.53333333333333,38.708333333333336,64.0,12.0,6.0,,
Leitrim,2024,3,2024Q3,16.59581638,1.966292135,312.051438,904.49,38.06666666666667,40.075,40.55,64.0,12.0,6.0,,
Leitrim,2024,4,2024Q4,17.45746177,1.966292135,277.7789794,904.49,38.041666666666664,41.075,41.166666666666664,64.0,12.0,6.0,,
Leitrim,2025,1,2025Q1,16.04968104,0.826446281,235.394904,904.49,37.0,41.025,40.666666666666664,64.0,12.0,6.0,,
Leitrim,2025,2,2025Q2,15.20593814,0.826446281,323.3760977,904.49,37.61666666666667,41.725,41.34166666666667,64.0,12.0,6.0,,
Leitrim,2025,3,2025Q3,10.86002023,0.826446281,322.55089,904.49,38.31666666666667,43.416666666666664,42.625,64.0,12.0,6.0,,
Limerick,2018,1,2018Q1,11.04041674,1.827411168,667.3742806,912.75,29.358333333333334,27.108333333333334,29.141666666666666,497.0,145.0,44.0,0.2917505030181087,0.08853118712273642
Limerick,2018,2,2018Q2,10.93280351,1.827411168,667.3742806,912.75,29.28333333333333,29.025000000000002,30.066666666666666,484.0,135.0,41.0,0.27892561983471076,0.08471074380165289
Limerick,2018,3,2018Q3,11.01883613,1.827411168,667.3742806,912.75,29.058333333333334,28.40833333333333,29.708333333333332,477.0,127.0,37.0,0.2662473794549266,0.07756813417190776
Limerick,2018,4,2018Q4,10.52264149,1.827411168,667.3742806,912.75,27.983333333333334,27.691666666666666,28.808333333333334,468.0,121.0,41.0,0.25854700854700857,0.0876068376068376
Limerick,2019,1,2019Q1,9.65212216,0.847457627,667.3742806,982.89,26.150000000000002,26.8,27.441666666666666,453.0,116.0,43.0,0.2560706401766004,0.09492273730684327
Limerick,2019,2,2019Q2,9.536165327,0.847457627,667.3742806,982.89,26.208333333333332,27.041666666666668,27.599999999999998,453.0,108.0,42.0,0.23841059602649006,0.09271523178807947
Limerick,2019,3,2019Q3,7.924978317,0.847457627,667.3742806,982.89,26.808333333333334,27.325,28.041666666666668,455.0,107.0,41.0,0.23516483516483516,0.09010989010989011
Limerick,2019,4,2019Q4,6.552041625,0.847457627,667.3742806,982.89,25.741666666666664,26.525000000000002,27.150000000000002,453.0,108.0,41.0,0.23841059602649006,0.09050772626931568
Limerick,2020,1,2020Q1,4.917945552,0.840336134,667.3742806,1026.74,26.28333333333333,25.658333333333335,26.933333333333334,458.0,103.0,48.0,0.22489082969432314,0.10480349344978165
Limerick,2020,2,2020Q2,3.832044106,0.840336134,667.3742806,1026.74,25.900000000000002,25.90833333333333,26.891666666666666,451.0,97.0,41.0,0.21507760532150777,0.09090909090909091
Limerick,2020,3,2020Q3,2.986438975,0.840336134,667.3742806,1026.74,25.558333333333334,26.09166666666667,26.833333333333332,447.0,96.0,36.0,0.21476510067114093,0.08053691275167785
Limerick,2020,4,2020Q4,2.992182947,0.840336134,667.3742806,1026.74,26.675,27.133333333333336,27.925,445.0,91.0,36.0,0.20449438202247192,0.08089887640449438
Limerick,2021,1,2021Q1,2.092652891,0.294117647,264.6747113,1071.24,27.575,28.183333333333334,28.933333333333334,435.0,85.0,35.0,0.19540229885057472,0.08045977011494253
Limerick,2021,2,2021Q2,2.521653106,0.294117647,304.8074362,1071.24,29.625,29.5,30.608333333333334,436.0,86.0,36.0,0.19724770642201836,0.08256880733944955
Limerick,2021,3,2021Q3,4.098592511,0.294117647,285.0765297,1071.24,32.733333333333334,33.30833333333333,34.166666666666664,427.0,88.0,31.0,0.20608899297423888,0.07259953161592506
Limerick,2021,4,2021Q4,5.208577226,0.294117647,385.4693341,1071.24,33.833333333333336,35.36666666666667,35.84166666666667,423.0,88.0,32.0,0.20803782505910165,0.07565011820330969
Limerick,2022,1,2022Q1,9.289986686,1.612903226,378.1198001,1188.06,33.975,36.175000000000004,36.4,419.0,85.0,32.0,0.20286396181384247,0.07637231503579953
Limerick,2022,2,2022Q2,9.27136668,1.612903226,465.4908161,1188.06,34.050000000000004,36.458333333333336,36.6,412.0,81.0,34.0,0.1966019417475728,0.0825242718446602
Limerick,2022,3,2022Q3,12.21175919,1.612903226,453.4753954,1188.06,34.958333333333336,36.75833333333333,37.225,447.0,96.0,36.0,0.21476510067114093,0.08053691275167785
Limerick,2022,4,2022Q4,12.01746984,1.612903226,505.4100691,1188.06,33.59166666666667,35.983333333333334,36.199999999999996,401.0,72.0,33.0,0.17955112219451372,0.08229426433915212
Limerick,2023,1,2023Q1,6.347503546,1.924001924,452.9569635,1291.57,31.183333333333334,34.75833333333333,34.43333333333333,399.0,69.0,31.0,0.17293233082706766,0.07769423558897243
