"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Professional, scientific and technical activities (M)","Euro","302880"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Administrative and support service activities (N)","Euro","315262"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Public administration and defence; compulsory social security (O)","Euro","251861"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Education (P)","Euro","281129"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Human health and social work activities (Q)","Euro","267952"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Industry (B to E)","Euro","296507"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","311223"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","293496"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","All NACE economic sectors","Euro","296269"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Construction (F)","Euro","318726"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","301301"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Transportation and storage (H)","Euro","269475"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Accommodation and food service activities (I)","Euro","293749"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Information and communication (J)","Euro","295488"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Professional, scientific and technical activities (M)","Euro","305447"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Administrative and support service activities (N)","Euro","316471"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Public administration and defence; compulsory social security (O)","Euro","250704"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Education (P)","Euro","282186"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Human health and social work activities (Q)","Euro","271641"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Industry (B to E)","Euro","296507"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Financial, insurance and real estate activities (K,L)","Euro","314406"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","302030"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","All NACE economic sectors","Euro","287130"
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Construction (F)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2023","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","301444"
