"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Galway","Thousand","17.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Kildare","Thousand","17.5"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Kilkenny","Thousand","7.1"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Kerry","Thousand","9.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Longford","Thousand","3.1"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Louth","Thousand","9.9"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Limerick","Thousand","12.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Leitrim","Thousand","2.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Laois","Thousand","6.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Meath","Thousand","15.9"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Monaghan","Thousand","4.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Mayo","Thousand","9"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Offaly","Thousand","5.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Roscommon","Thousand","4.5"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Sligo","Thousand","4.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Tipperary","Thousand","11.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Waterford","Thousand","8.3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Wicklow","Thousand","10.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Westmeath","Thousand","6.3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Both sexes","Co. Wexford","Thousand","11.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Ireland","Thousand","166.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Clare","Thousand","4.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Cork","Thousand","18.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Cavan","Thousand","3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Carlow","Thousand","2.1"
"Estimated Population (Persons in April)","2017","10 - 14 years","Male","Co. Donegal","Thousand","6.3"
