"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Clare","Thousand","2.1"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Cork","Thousand","8.7"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Cavan","Thousand","1.3"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Carlow","Thousand","0.9"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Donegal","Thousand","3"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Dublin","Thousand","20.5"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Galway","Thousand","4.3"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Kildare","Thousand","2.1"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Kilkenny","Thousand","1.8"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Kerry","Thousand","2.7"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Longford","Thousand","0.5"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Louth","Thousand","1.9"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Limerick","Thousand","3.3"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Leitrim","Thousand","0.7"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Laois","Thousand","0.9"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Meath","Thousand","2.1"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Monaghan","Thousand","1.1"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Mayo","Thousand","2.9"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Offaly","Thousand","1"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Roscommon","Thousand","1.5"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Sligo","Thousand","1.3"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Tipperary","Thousand","3.2"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Waterford","Thousand","2.1"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Wicklow","Thousand","1.9"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Westmeath","Thousand","1.1"
"Estimated Population (Persons in April)","2020","85 years and over","Both sexes","Co. Wexford","Thousand","2.6"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Ireland","Thousand","28"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Clare","Thousand","0.8"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Cork","Thousand","3.2"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Cavan","Thousand","0.5"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Carlow","Thousand","0.4"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Donegal","Thousand","1.2"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Dublin","Thousand","7.1"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Galway","Thousand","1.6"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Kildare","Thousand","0.7"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Kilkenny","Thousand","0.7"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Kerry","Thousand","1"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Longford","Thousand","0.2"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Louth","Thousand","0.6"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Limerick","Thousand","1.2"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Leitrim","Thousand","0.3"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Laois","Thousand","0.4"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Meath","Thousand","0.8"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Monaghan","Thousand","0.4"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Mayo","Thousand","1.1"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Offaly","Thousand","0.4"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Roscommon","Thousand","0.5"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Sligo","Thousand","0.5"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Tipperary","Thousand","1.2"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Waterford","Thousand","0.8"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Wicklow","Thousand","0.7"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Westmeath","Thousand","0.4"
"Estimated Population (Persons in April)","2020","85 years and over","Male","Co. Wexford","Thousand","1"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Ireland","Thousand","47.6"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Clare","Thousand","1.3"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Cork","Thousand","5.5"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Cavan","Thousand","0.8"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Carlow","Thousand","0.6"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Donegal","Thousand","1.8"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Dublin","Thousand","13.3"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Galway","Thousand","2.7"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Kildare","Thousand","1.4"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Kilkenny","Thousand","1.1"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Kerry","Thousand","1.7"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Longford","Thousand","0.3"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Louth","Thousand","1.2"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Limerick","Thousand","2.1"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Leitrim","Thousand","0.4"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Laois","Thousand","0.5"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Meath","Thousand","1.4"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Monaghan","Thousand","0.7"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Mayo","Thousand","1.8"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Offaly","Thousand","0.6"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Roscommon","Thousand","1"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Sligo","Thousand","0.8"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Tipperary","Thousand","2"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Waterford","Thousand","1.3"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Wicklow","Thousand","1.2"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Westmeath","Thousand","0.6"
"Estimated Population (Persons in April)","2020","85 years and over","Female","Co. Wexford","Thousand","1.6"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Ireland","Thousand","5029.9"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Clare","Thousand","124.9"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Cork","Thousand","569.7"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Cavan","Thousand","79.1"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Carlow","Thousand","60"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Donegal","Thousand","167"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Dublin","Thousand","1422.4"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Galway","Thousand","266.7"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Kildare","Thousand","241.7"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Kilkenny","Thousand","104.3"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Kerry","Thousand","153.6"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Longford","Thousand","43.1"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Louth","Thousand","137.5"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Limerick","Thousand","204"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Leitrim","Thousand","33.6"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Laois","Thousand","89.9"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Meath","Thousand","213.1"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Monaghan","Thousand","64.5"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Mayo","Thousand","137.4"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Offaly","Thousand","83.1"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Roscommon","Thousand","68.2"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Sligo","Thousand","67.7"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Tipperary","Thousand","169"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Waterford","Thousand","122.2"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Wicklow","Thousand","154.9"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Westmeath","Thousand","93.8"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Co. Wexford","Thousand","158.4"
"Estimated Population (Persons in April)","2020","All ages","Male","Ireland","Thousand","2491.8"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Clare","Thousand","62.3"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Cork","Thousand","282.9"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Cavan","Thousand","39.7"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Carlow","Thousand","29.9"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Donegal","Thousand","83.1"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Dublin","Thousand","695.4"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Galway","Thousand","131.5"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Kildare","Thousand","120.8"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Kilkenny","Thousand","52.2"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Kerry","Thousand","76.3"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Longford","Thousand","21.8"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Louth","Thousand","68.2"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Limerick","Thousand","102.2"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Leitrim","Thousand","16.8"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Laois","Thousand","45.6"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Meath","Thousand","106.2"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Monaghan","Thousand","32.4"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Mayo","Thousand","68"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Offaly","Thousand","41.7"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Roscommon","Thousand","33.9"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Sligo","Thousand","33.6"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Tipperary","Thousand","84.5"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Waterford","Thousand","60.8"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Wicklow","Thousand","76.8"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Westmeath","Thousand","47.1"
"Estimated Population (Persons in April)","2020","All ages","Male","Co. Wexford","Thousand","78.3"
"Estimated Population (Persons in April)","2020","All ages","Female","Ireland","Thousand","2538.1"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Clare","Thousand","62.6"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Cork","Thousand","286.8"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Cavan","Thousand","39.5"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Carlow","Thousand","30.1"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Donegal","Thousand","84"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Dublin","Thousand","727.1"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Galway","Thousand","135.2"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Kildare","Thousand","120.9"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Kilkenny","Thousand","52.1"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Kerry","Thousand","77.3"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Longford","Thousand","21.2"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Louth","Thousand","69.3"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Limerick","Thousand","101.8"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Leitrim","Thousand","16.8"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Laois","Thousand","44.4"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Meath","Thousand","106.9"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Monaghan","Thousand","32.2"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Mayo","Thousand","69.4"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Offaly","Thousand","41.4"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Roscommon","Thousand","34.4"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Sligo","Thousand","34.1"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Tipperary","Thousand","84.5"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Waterford","Thousand","61.4"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Wicklow","Thousand","78.2"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Westmeath","Thousand","46.7"
"Estimated Population (Persons in April)","2020","All ages","Female","Co. Wexford","Thousand","80.1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Ireland","Thousand","300.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Clare","Thousand","7.2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Cork","Thousand","32.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Cavan","Thousand","4.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Carlow","Thousand","3.4"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Donegal","Thousand","9.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Dublin","Thousand","82.4"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Galway","Thousand","15.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Kildare","Thousand","16.1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Kilkenny","Thousand","5.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Kerry","Thousand","9.2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Longford","Thousand","3"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Louth","Thousand","7.5"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Limerick","Thousand","11.5"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Leitrim","Thousand","2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Laois","Thousand","6.5"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Meath","Thousand","14.3"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Monaghan","Thousand","3.8"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Mayo","Thousand","8.3"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Offaly","Thousand","6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Roscommon","Thousand","3.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Sligo","Thousand","4.1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Tipperary","Thousand","9.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Waterford","Thousand","7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Wicklow","Thousand","10.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Westmeath","Thousand","6.8"
"Estimated Population (Persons in April)","2021","0 - 4 years","Both sexes","Co. Wexford","Thousand","8.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Ireland","Thousand","154.1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Clare","Thousand","3.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Cork","Thousand","16.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Cavan","Thousand","2.5"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Carlow","Thousand","1.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Donegal","Thousand","5.1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Dublin","Thousand","41.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Galway","Thousand","8.1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Kildare","Thousand","8.3"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Kilkenny","Thousand","3"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Kerry","Thousand","4.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Longford","Thousand","1.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Louth","Thousand","3.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Limerick","Thousand","5.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Leitrim","Thousand","1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Laois","Thousand","3.4"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Meath","Thousand","7.2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Monaghan","Thousand","2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Mayo","Thousand","4.3"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Offaly","Thousand","3.2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Roscommon","Thousand","2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Sligo","Thousand","2.1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Tipperary","Thousand","5"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Waterford","Thousand","3.5"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Wicklow","Thousand","5.4"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Westmeath","Thousand","3.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Male","Co. Wexford","Thousand","4.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Ireland","Thousand","146.8"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Clare","Thousand","3.5"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Cork","Thousand","16.1"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Cavan","Thousand","2.2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Carlow","Thousand","1.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Donegal","Thousand","4.8"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Dublin","Thousand","40.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Galway","Thousand","7.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Kildare","Thousand","7.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Kilkenny","Thousand","2.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Kerry","Thousand","4.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Longford","Thousand","1.4"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Louth","Thousand","3.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Limerick","Thousand","5.6"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Leitrim","Thousand","0.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Laois","Thousand","3"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Meath","Thousand","7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Monaghan","Thousand","1.9"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Mayo","Thousand","4"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Offaly","Thousand","2.8"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Roscommon","Thousand","2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Sligo","Thousand","2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Tipperary","Thousand","4.7"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Waterford","Thousand","3.4"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Wicklow","Thousand","5.2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Westmeath","Thousand","3.2"
"Estimated Population (Persons in April)","2021","0 - 4 years","Female","Co. Wexford","Thousand","4.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Ireland","Thousand","342.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Clare","Thousand","8.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Cork","Thousand","38.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Cavan","Thousand","6"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Carlow","Thousand","4.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Donegal","Thousand","11.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Dublin","Thousand","91.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Galway","Thousand","18.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Kildare","Thousand","18.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Kilkenny","Thousand","7.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Kerry","Thousand","9.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Longford","Thousand","3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Louth","Thousand","10.2"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Limerick","Thousand","13.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Leitrim","Thousand","2.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Laois","Thousand","6.4"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Meath","Thousand","16.6"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Monaghan","Thousand","5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Mayo","Thousand","8.8"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Offaly","Thousand","5.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Roscommon","Thousand","4.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Sligo","Thousand","4.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Tipperary","Thousand","11.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Waterford","Thousand","8.2"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Wicklow","Thousand","10.8"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Westmeath","Thousand","6.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Both sexes","Co. Wexford","Thousand","11"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Ireland","Thousand","176"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Clare","Thousand","4.2"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Cork","Thousand","19.8"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Cavan","Thousand","3.1"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Carlow","Thousand","2.2"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Donegal","Thousand","6.1"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Dublin","Thousand","46.9"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Galway","Thousand","9.6"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Kildare","Thousand","9.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Kilkenny","Thousand","3.9"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Kerry","Thousand","4.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Longford","Thousand","1.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Louth","Thousand","5.2"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Limerick","Thousand","7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Leitrim","Thousand","1.2"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Laois","Thousand","3.2"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Meath","Thousand","8.6"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Monaghan","Thousand","2.6"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Mayo","Thousand","4.6"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Offaly","Thousand","2.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Roscommon","Thousand","2.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Sligo","Thousand","2.5"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Tipperary","Thousand","5.9"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Waterford","Thousand","4.3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Wicklow","Thousand","5.6"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Westmeath","Thousand","3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Male","Co. Wexford","Thousand","5.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Female","Ireland","Thousand","166.7"
"Estimated Population (Persons in April)","2021","5 - 9 years","Female","Co. Clare","Thousand","4.1"
"Estimated Population (Persons in April)","2021","5 - 9 years","Female","Co. Cork","Thousand","18.9"
"Estimated Population (Persons in April)","2021","5 - 9 years","Female","Co. Cavan","Thousand","3"
"Estimated Population (Persons in April)","2021","5 - 9 years","Female","Co. Carlow","Thousand","2.1"
"Estimated Population (Persons in April)","2021","5 - 9 years","Female","Co. Donegal","Thousand","5.6"
