"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2016 November","Fingal - houses","Base 2015=100","102.9"
"Residential Property Price Index","2016 November","South Dublin - houses","Base 2015=100","104.5"
"Residential Property Price Index","2016 November","National excluding Dublin - all residential properties","Base 2015=100","116.4"
"Residential Property Price Index","2016 November","National excluding Dublin - houses","Base 2015=100","116.3"
"Residential Property Price Index","2016 November","National excluding Dublin - apartments","Base 2015=100","118.2"
"Residential Property Price Index","2016 November","Border - houses","Base 2015=100","112.8"
"Residential Property Price Index","2016 November","Midland - houses","Base 2015=100","121.6"
"Residential Property Price Index","2016 November","West - houses","Base 2015=100","119"
"Residential Property Price Index","2016 November","Mid-East - houses","Base 2015=100","111.5"
"Residential Property Price Index","2016 November","Mid-West - houses","Base 2015=100","115.6"
"Residential Property Price Index","2016 November","South-East - houses","Base 2015=100","115.8"
"Residential Property Price Index","2016 November","South-West - houses","Base 2015=100","117.1"
"Residential Property Price Index","2016 December","National - all residential properties","Base 2015=100","112.2"
"Residential Property Price Index","2016 December","National - houses","Base 2015=100","112.3"
"Residential Property Price Index","2016 December","National - apartments","Base 2015=100","111.7"
"Residential Property Price Index","2016 December","Dublin - all residential properties","Base 2015=100","108.4"
"Residential Property Price Index","2016 December","Dublin - houses","Base 2015=100","108.2"
"Residential Property Price Index","2016 December","Dublin - apartments","Base 2015=100","109.8"
"Residential Property Price Index","2016 December","Dublin City - houses","Base 2015=100","107.5"
"Residential Property Price Index","2016 December","Dun Laoghaire-Rathdown - houses","Base 2015=100","111.4"
"Residential Property Price Index","2016 December","Fingal - houses","Base 2015=100","103.1"
"Residential Property Price Index","2016 December","South Dublin - houses","Base 2015=100","106"
"Residential Property Price Index","2016 December","National excluding Dublin - all residential properties","Base 2015=100","116.2"
"Residential Property Price Index","2016 December","National excluding Dublin - houses","Base 2015=100","116"
"Residential Property Price Index","2016 December","National excluding Dublin - apartments","Base 2015=100","118.8"
"Residential Property Price Index","2016 December","Border - houses","Base 2015=100","113.2"
"Residential Property Price Index","2016 December","Midland - houses","Base 2015=100","122.2"
"Residential Property Price Index","2016 December","West - houses","Base 2015=100","120.1"
"Residential Property Price Index","2016 December","Mid-East - houses","Base 2015=100","112.5"
"Residential Property Price Index","2016 December","Mid-West - houses","Base 2015=100","115.1"
"Residential Property Price Index","2016 December","South-East - houses","Base 2015=100","118.1"
"Residential Property Price Index","2016 December","South-West - houses","Base 2015=100","116.8"
"Residential Property Price Index","2017 January","National - all residential properties","Base 2015=100","113"
"Residential Property Price Index","2017 January","National - houses","Base 2015=100","112.9"
"Residential Property Price Index","2017 January","National - apartments","Base 2015=100","113.1"
"Residential Property Price Index","2017 January","Dublin - all residential properties","Base 2015=100","109"
"Residential Property Price Index","2017 January","Dublin - houses","Base 2015=100","108.7"
"Residential Property Price Index","2017 January","Dublin - apartments","Base 2015=100","110.8"
"Residential Property Price Index","2017 January","Dublin City - houses","Base 2015=100","108.5"
