"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 1 month for Residential Property Price Index","2025 March","Border - houses","%","-0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 March","Midland - houses","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 March","West - houses","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 March","Mid-East - houses","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 March","Mid-West - houses","%","-0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 March","South-East - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 March","South-West - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","National - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","National - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","National - apartments","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Dublin - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Dublin - apartments","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Dublin City - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Dun Laoghaire-Rathdown - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Fingal - houses","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","South Dublin - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","National excluding Dublin - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","National excluding Dublin - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","National excluding Dublin - apartments","%","1.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Border - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Midland - houses","%","-0.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","West - houses","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Mid-East - houses","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","Mid-West - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","South-East - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 April","South-West - houses","%","-0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","National - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","National - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","National - apartments","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Dublin - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Dublin - apartments","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Dublin City - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Dun Laoghaire-Rathdown - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Fingal - houses","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","South Dublin - houses","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","National excluding Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","National excluding Dublin - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","National excluding Dublin - apartments","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Border - houses","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Midland - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","West - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Mid-East - houses","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","Mid-West - houses","%","1.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","South-East - houses","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 May","South-West - houses","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","National - all residential properties","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","National - houses","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","National - apartments","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Dublin - all residential properties","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Dublin - houses","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Dublin - apartments","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Dublin City - houses","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Dun Laoghaire-Rathdown - houses","%","1.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Fingal - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","South Dublin - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","National excluding Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","National excluding Dublin - houses","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","National excluding Dublin - apartments","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Border - houses","%","1.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Midland - houses","%","1.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","West - houses","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Mid-East - houses","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","Mid-West - houses","%","1.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","South-East - houses","%","1.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 June","South-West - houses","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","National - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","National - houses","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","National - apartments","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Dublin - houses","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Dublin - apartments","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Dublin City - houses","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Dun Laoghaire-Rathdown - houses","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Fingal - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","South Dublin - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","National excluding Dublin - all residential properties","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","National excluding Dublin - houses","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","National excluding Dublin - apartments","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Border - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Midland - houses","%","1.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","West - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Mid-East - houses","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","Mid-West - houses","%","1.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","South-East - houses","%","2.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 July","South-West - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","National - all residential properties","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","National - houses","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","National - apartments","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Dublin - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Dublin - apartments","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Dublin City - houses","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Dun Laoghaire-Rathdown - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Fingal - houses","%","-0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","South Dublin - houses","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","National excluding Dublin - all residential properties","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","National excluding Dublin - houses","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","National excluding Dublin - apartments","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Border - houses","%","2.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Midland - houses","%","1.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","West - houses","%","1.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Mid-East - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","Mid-West - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","South-East - houses","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 August","South-West - houses","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","National - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","National - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","National - apartments","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Dublin - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Dublin - apartments","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Dublin City - houses","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Dun Laoghaire-Rathdown - houses","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Fingal - houses","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","South Dublin - houses","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","National excluding Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","National excluding Dublin - houses","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","National excluding Dublin - apartments","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Border - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Midland - houses","%","1.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","West - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Mid-East - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","Mid-West - houses","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","South-East - houses","%","1.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 September","South-West - houses","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","National - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","National - houses","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","National - apartments","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Dublin - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Dublin - apartments","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Dublin City - houses","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Dun Laoghaire-Rathdown - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Fingal - houses","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","South Dublin - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","National excluding Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","National excluding Dublin - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","National excluding Dublin - apartments","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Border - houses","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Midland - houses","%","2.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","West - houses","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Mid-East - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","Mid-West - houses","%","-0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","South-East - houses","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 October","South-West - houses","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","National - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","National - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","National - apartments","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Dublin - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Dublin - apartments","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Dublin City - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Dun Laoghaire-Rathdown - houses","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Fingal - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","South Dublin - houses","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","National excluding Dublin - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","National excluding Dublin - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","National excluding Dublin - apartments","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Border - houses","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Midland - houses","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","West - houses","%","2"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Mid-East - houses","%","-0.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","Mid-West - houses","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","South-East - houses","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 November","South-West - houses","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","National - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","National - houses","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","National - apartments","%","1.5"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Dublin - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Dublin - houses","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Dublin - apartments","%","1.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Dublin City - houses","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Dun Laoghaire-Rathdown - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Fingal - houses","%","-0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","South Dublin - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","National excluding Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","National excluding Dublin - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","National excluding Dublin - apartments","%","1.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Border - houses","%","2.1"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Midland - houses","%","1.8"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","West - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Mid-East - houses","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","Mid-West - houses","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","South-East - houses","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2025 December","South-West - houses","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","National - all residential properties","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","National - houses","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","National - apartments","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Dublin - houses","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Dublin - apartments","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Dublin City - houses","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Dun Laoghaire-Rathdown - houses","%","1.1"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Fingal - houses","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","South Dublin - houses","%","-0.6"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","National excluding Dublin - all residential properties","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","National excluding Dublin - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","National excluding Dublin - apartments","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Border - houses","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Midland - houses","%","2"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","West - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Mid-East - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","Mid-West - houses","%","-0.4"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","South-East - houses","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2026 January","South-West - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","National - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","National - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","National - apartments","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Dublin - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Dublin - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Dublin - apartments","%","-2.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Dublin City - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Dun Laoghaire-Rathdown - houses","%","3.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Fingal - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","South Dublin - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","National excluding Dublin - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","National excluding Dublin - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","National excluding Dublin - apartments","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Border - houses","%","2.8"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Midland - houses","%","4.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","West - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Mid-East - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","Mid-West - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","South-East - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 January","South-West - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","National - all residential properties","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","National - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","National - apartments","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Dublin - all residential properties","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Dublin - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Dublin - apartments","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Dublin City - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Dun Laoghaire-Rathdown - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Fingal - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","South Dublin - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","National excluding Dublin - all residential properties","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","National excluding Dublin - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","National excluding Dublin - apartments","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Border - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Midland - houses","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","West - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Mid-East - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","Mid-West - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","South-East - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 February","South-West - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","National - all residential properties","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","National - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","National - apartments","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Dublin - all residential properties","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Dublin - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Dublin - apartments","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Dublin City - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Dun Laoghaire-Rathdown - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Fingal - houses","%","2.8"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","South Dublin - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","National excluding Dublin - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","National excluding Dublin - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","National excluding Dublin - apartments","%","3.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Border - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Midland - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","West - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Mid-East - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","Mid-West - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","South-East - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 March","South-West - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","National - all residential properties","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","National - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","National - apartments","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Dublin - all residential properties","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Dublin - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Dublin - apartments","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Dublin City - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Dun Laoghaire-Rathdown - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Fingal - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","South Dublin - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","National excluding Dublin - all residential properties","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","National excluding Dublin - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","National excluding Dublin - apartments","%","3.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Border - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Midland - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","West - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Mid-East - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","Mid-West - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","South-East - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 April","South-West - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","National - all residential properties","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","National - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","National - apartments","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Dublin - all residential properties","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Dublin - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Dublin - apartments","%","2.6"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Dublin City - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Dun Laoghaire-Rathdown - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Fingal - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","South Dublin - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","National excluding Dublin - all residential properties","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","National excluding Dublin - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","National excluding Dublin - apartments","%","4.6"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Border - houses","%","2.6"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Midland - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","West - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Mid-East - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","Mid-West - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","South-East - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 May","South-West - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","National - all residential properties","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","National - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","National - apartments","%","3.7"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","Dublin - all residential properties","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","Dublin - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","Dublin - apartments","%","3.9"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","Dublin City - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","Dun Laoghaire-Rathdown - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","Fingal - houses","%","-1.3"
"Percentage Change over 3 months for Residential Property Price Index","2016 June","South Dublin - houses","%","0.8"
