"STATISTIC Label","Year","Eircode Output","UNIT","VALUE"
"New Dwelling Completions","2017","P31: Ballincollig","Number","111"
"New Dwelling Completions","2017","P32: Rylane","Number","10"
"New Dwelling Completions","2017","P36: Youghal","Number","18"
"New Dwelling Completions","2017","P43: Carrigaline","Number","136"
"New Dwelling Completions","2017","P47: Dunmanway","Number","16"
"New Dwelling Completions","2017","P51: Mallow","Number","163"
"New Dwelling Completions","2017","P56: Charleville","Number","16"
"New Dwelling Completions","2017","P61: Fermoy","Number","44"
"New Dwelling Completions","2017","P67: Mitchelstown","Number","14"
"New Dwelling Completions","2017","P72: Bandon","Number","65"
"New Dwelling Completions","2017","P75: Bantry","Number","36"
"New Dwelling Completions","2017","P81: Skibbereen","Number","40"
"New Dwelling Completions","2017","P85: Clonakilty","Number","39"
"New Dwelling Completions","2017","R14: Athy","Number","36"
"New Dwelling Completions","2017","R21: Mhuine Bheag","Number","14"
"New Dwelling Completions","2017","R32: Portlaoise","Number","114"
"New Dwelling Completions","2017","R35: Tullamore","Number","56"
"New Dwelling Completions","2017","R42: Birr","Number","32"
"New Dwelling Completions","2017","R45: Edenderry","Number","28"
"New Dwelling Completions","2017","R51: Kildare","Number","98"
"New Dwelling Completions","2017","R56: Curragh","Number","33"
"New Dwelling Completions","2017","R93: Carlow","Number","86"
"New Dwelling Completions","2017","R95: Kilkenny","Number","166"
"New Dwelling Completions","2017","T12: Cork Southside","Number","232"
"New Dwelling Completions","2017","T23: Cork Northside","Number","102"
"New Dwelling Completions","2017","T34: Carrignavar","Number","11"
"New Dwelling Completions","2017","T45: Glanmire","Number","105"
"New Dwelling Completions","2017","T56: Watergrasshill","Number","35"
"New Dwelling Completions","2017","V14: Shannon","Number","3"
"New Dwelling Completions","2017","V15: Kilrush","Number","34"
"New Dwelling Completions","2017","V23: Caherciveen","Number","12"
"New Dwelling Completions","2017","V31: Listowel","Number","18"
"New Dwelling Completions","2017","V35: Kilmallock","Number","35"
"New Dwelling Completions","2017","V42: Newcastle West","Number","28"
"New Dwelling Completions","2017","V92: Tralee","Number","102"
"New Dwelling Completions","2017","V93: Killarney","Number","152"
"New Dwelling Completions","2017","V94: Limerick","Number","453"
"New Dwelling Completions","2017","V95: Ennis","Number","178"
"New Dwelling Completions","2017","W12: Newbridge","Number","96"
"New Dwelling Completions","2017","W23: Celbridge","Number","301"
"New Dwelling Completions","2017","W34: Monasterevin","Number","87"
"New Dwelling Completions","2017","W91: Naas","Number","395"
"New Dwelling Completions","2017","X35: Dungarvan","Number","52"
"New Dwelling Completions","2017","X42: Kilmacthomas","Number","20"
"New Dwelling Completions","2017","X91: Waterford","Number","188"
"New Dwelling Completions","2017","Y14: Arklow","Number","44"
"New Dwelling Completions","2017","Y21: Enniscorthy","Number","99"
"New Dwelling Completions","2017","Y25: Gorey","Number","123"
"New Dwelling Completions","2017","Y34: New Ross","Number","28"
"New Dwelling Completions","2017","Y35: Wexford","Number","97"
"New Dwelling Completions","2018","All","Number","17786"
"New Dwelling Completions","2018","A41: Ballyboughal","Number","19"
"New Dwelling Completions","2018","A42: Garristown","Number","12"
"New Dwelling Completions","2018","A45: Oldtown","Number","3"
"New Dwelling Completions","2018","A63: Greystones","Number","289"
"New Dwelling Completions","2018","A67: Wicklow","Number","167"
"New Dwelling Completions","2018","A75: Castleblaney","Number","30"
"New Dwelling Completions","2018","A81: Carrickmacross","Number","34"
"New Dwelling Completions","2018","A82: Kells","Number","100"
"New Dwelling Completions","2018","A83: Enfield","Number","54"
"New Dwelling Completions","2018","A84: Ashbourne","Number","229"
"New Dwelling Completions","2018","A85: Dunshaughlin","Number","239"
"New Dwelling Completions","2018","A86: Dunboyne","Number","8"
